Date,Close
1/1/2009,76.480003
2/1/2009,67.900002
3/1/2009,68.099998
4/1/2009,66.669998
5/1/2009,69.349998
6/1/2009,69.910004
7/1/2009,70.389999
8/1/2009,69.150002
9/1/2009,68.610001
10/1/2009,71.669998
11/1/2009,75.07
12/1/2009,68.190002
1/1/2010,64.43
2/1/2010,65
3/1/2010,66.980003
4/1/2010,67.769997
5/1/2010,60.459999
6/1/2010,57.07
7/1/2010,59.68
8/1/2010,59.110001
9/1/2010,61.790001
10/1/2010,66.489998
11/1/2010,69.559998
12/1/2010,73.120003
1/1/2011,80.68
2/1/2011,85.529999
3/1/2011,84.129997
4/1/2011,87.980003
5/1/2011,83.470001
6/1/2011,81.379997
7/1/2011,79.790001
8/1/2011,74.019997
9/1/2011,72.629997
10/1/2011,78.089996
11/1/2011,80.440002
12/1/2011,84.760002
1/1/2012,83.739998
2/1/2012,86.5
3/1/2012,86.730003
4/1/2012,86.339996
5/1/2012,78.629997
6/1/2012,85.57
7/1/2012,86.849998
8/1/2012,87.300003
9/1/2012,91.449997
10/1/2012,91.169998
11/1/2012,88.139999
12/1/2012,86.550003
1/1/2013,89.970001
2/1/2013,89.550003
3/1/2013,90.110001
4/1/2013,88.989998
5/1/2013,90.470001
6/1/2013,90.349998
7/1/2013,93.75
8/1/2013,87.160004
9/1/2013,86.040001
10/1/2013,89.620003
11/1/2013,93.480003
12/1/2013,101.199997
1/1/2014,92.160004
2/1/2014,96.269997
3/1/2014,97.68
4/1/2014,102.410004
5/1/2014,100.529999
6/1/2014,100.68
7/1/2014,98.940002
8/1/2014,99.459999
9/1/2014,94.050003
10/1/2014,96.709999
11/1/2014,90.540001
12/1/2014,92.449997
1/1/2015,87.419998
2/1/2015,88.540001
3/1/2015,85
4/1/2015,87.370003
5/1/2015,85.199997
6/1/2015,83.199997
7/1/2015,79.209999
8/1/2015,75.239998
9/1/2015,74.349998
10/1/2015,82.739998
11/1/2015,81.660004
12/1/2015,77.949997
1/1/2016,77.849998
2/1/2016,80.150002
3/1/2016,83.589996
4/1/2016,88.400002
5/1/2016,89.019997
6/1/2016,93.739998
7/1/2016,88.949997
8/1/2016,87.139999
9/1/2016,87.279999
10/1/2016,83.32
11/1/2016,87.300003
12/1/2016,90.260002
1/1/2017,83.889999
2/1/2017,81.32
3/1/2017,82.010002
4/1/2017,81.650002
5/1/2017,80.5
6/1/2017,80.730003
7/1/2017,80.040001
8/1/2017,76.330002
9/1/2017,81.980003
10/1/2017,83.349998
11/1/2017,83.290001
12/1/2017,83.639999
1/1/2018,87.300003
2/1/2018,75.739998
3/1/2018,74.610001
4/1/2018,77.75
5/1/2018,81.239998
6/1/2018,82.730003
7/1/2018,81.510002
8/1/2018,80.169998
9/1/2018,85.019997
10/1/2018,79.68
11/1/2018,79.5
12/1/2018,68.190002
1/1/2019,73.279999
2/1/2019,79.029999
3/1/2019,80.800003
4/1/2019,80.279999
5/1/2019,70.769997
6/1/2019,76.629997
7/1/2019,74.360001
8/1/2019,68.480003
9/1/2019,70.610001
10/1/2019,67.57
11/1/2019,68.129997
12/1/2019,69.779999
1/1/2020,62.119999
2/1/2020,51.439999
3/1/2020,37.970001
4/1/2020,46.470001
5/1/2020,45.470001
6/1/2020,44.720001
7/1/2020,42.080002
8/1/2020,39.939999
9/1/2020,34.330002
10/1/2020,32.619999
11/1/2020,38.130001
12/1/2020,41.220001
1/1/2021,44.84
2/1/2021,54.369999
3/1/2021,55.830002
4/1/2021,57.240002
5/1/2021,58.369999
6/1/2021,63.080002
7/1/2021,57.57
8/1/2021,54.52
9/1/2021,58.82
10/1/2021,64.470001
11/1/2021,59.84
12/1/2021,61.189999
1/1/2022,75.959999
2/1/2022,78.419998
3/1/2022,82.589996
4/1/2022,85.25
5/1/2022,96
6/1/2022,85.639999
7/1/2022,96.93
8/1/2022,95.589996
9/1/2022,87.309998
10/1/2022,110.809998
11/1/2022,111.339996
12/1/2022,110.300003
1/1/2023,116.010002
2/1/2023,109.910004
3/1/2023,109.660004
4/1/2023,118.339996
5/1/2023,102.18
6/1/2023,107.25
7/1/2023,107.239998
8/1/2023,111.190002
9/1/2023,117.580002
10/1/2023,105.849998
11/1/2023,102.739998
12/1/2023,99.110001
